reading_id,timestamp,equipment_id,bench_id,x_coord,y_coord,sensor_cu_grade,tonnage
1,2025-03-23 03:01:00,SHOVEL-03,BENCH-105,1244.89,5139.54,0.9631,97.42
2,2025-03-11 02:37:00,SHOVEL-02,BENCH-100,1029.8,5218.64,1.1338,165.91
3,2025-01-04 17:12:00,SHOVEL-03,BENCH-110,1701.32,5419.52,0.7727,156.37
4,2025-02-05 00:48:00,SHOVEL-01,BENCH-110,1422.61,5277.87,1.3062,116.6
5,2025-02-13 03:05:00,SHOVEL-02,BENCH-100,1358.98,5343.96,0.776,124.97
6,2025-01-06 23:29:00,SHOVEL-03,BENCH-100,1973.12,5378.53,0.6969,173.85
7,2025-03-22 19:56:00,SHOVEL-02,BENCH-110,1192.29,5069.56,0.7574,192.41
8,2025-02-07 02:54:00,SHOVEL-01,BENCH-100,1380.13,5453.41,0.3738,221.8
9,2025-01-21 11:22:00,SHOVEL-01,BENCH-110,1266.98,5936.65,0.6219,190.17
10,2025-03-19 20:10:00,SHOVEL-03,BENCH-110,1244.81,5462.26,0.51,125.89
11,2025-03-23 22:35:00,SHOVEL-01,BENCH-110,1324.28,5768.31,1.1984,89.51
12,2025-01-05 10:25:00,SHOVEL-02,BENCH-100,1210.98,5942.91,0.7529,228.98
13,2025-02-10 06:41:00,SHOVEL-02,BENCH-105,1884.68,5642.85,0.7228,104.29
14,2025-01-18 07:47:00,SHOVEL-03,BENCH-110,1262.74,5584.59,0.5923,232.63
15,2025-02-21 11:14:00,SHOVEL-01,BENCH-110,1493.52,5755.78,0.6765,226.39
16,2025-01-20 20:10:00,SHOVEL-03,BENCH-105,1596.41,5384.77,0.8478,181.3
17,2025-03-01 16:16:00,SHOVEL-03,BENCH-100,1680.28,5114.55,0.762,230.41
18,2025-02-04 20:21:00,SHOVEL-01,BENCH-105,1434.77,5453.72,0.958,242.15
19,2025-02-03 16:48:00,SHOVEL-01,BENCH-110,1912.63,5870.52,0.7454,130.74
20,2025-03-23 16:38:00,SHOVEL-01,BENCH-100,1373.91,5161.55,0.5337,242.09
21,2025-03-09 00:38:00,SHOVEL-02,BENCH-105,1019.48,5929.1,1.0483,229.38
22,2025-02-09 07:03:00,SHOVEL-01,BENCH-110,1946.95,5085.65,0.797,162.62
23,2025-01-09 17:49:00,SHOVEL-01,BENCH-100,1659.75,5946.85,0.4228,108.07
24,2025-03-09 19:27:00,SHOVEL-01,BENCH-110,1755.27,5689.87,0.8194,201.2
25,2025-02-21 21:41:00,SHOVEL-02,BENCH-105,1899.61,5451.49,0.7949,122.14
26,2025-01-09 10:01:00,SHOVEL-03,BENCH-110,1230.11,5220.22,0.9002,92.07
27,2025-03-22 01:14:00,SHOVEL-01,BENCH-100,1859.64,5070.86,0.7297,120.46
28,2025-03-27 15:13:00,SHOVEL-03,BENCH-100,1723.35,5882.38,1.1823,177.96
29,2025-02-01 15:51:00,SHOVEL-02,BENCH-100,1094.33,5658.98,0.6155,140.23
30,2025-02-22 14:55:00,SHOVEL-03,BENCH-100,1673.36,5984.17,1.0109,96.73
31,2025-02-21 23:21:00,SHOVEL-01,BENCH-100,1191.59,5536.29,0.7154,103.83
32,2025-01-24 08:29:00,SHOVEL-01,BENCH-100,1443.13,5861.35,0.4777,173.56
33,2025-01-07 20:34:00,SHOVEL-01,BENCH-100,1926.37,5848.7,1.1616,108.27
34,2025-03-04 15:13:00,SHOVEL-02,BENCH-100,1164.64,5002.16,0.9123,146.37
35,2025-02-28 09:27:00,SHOVEL-03,BENCH-110,1995.42,5555.77,0.8888,202.13
36,2025-01-20 06:18:00,SHOVEL-01,BENCH-100,1579.18,5542.2,10.633999999999999,207.16
37,2025-01-08 01:37:00,SHOVEL-02,BENCH-110,1919.39,5531.13,0.9662,89.67
38,2025-03-07 02:54:00,SHOVEL-01,BENCH-100,1595.04,5675.21,0.2608,119.98
